timestamp,room,peopleCount
2025-09-22T16:40:07.000Z,Room 2.12,0
2025-09-22T17:00:07.000Z,Room 2.12,0
2025-09-22T17:20:07.000Z,Room 2.12,0
2025-09-22T17:40:07.000Z,Room 2.12,0
2025-09-23T07:00:07.000Z,Room 2.12,0
2025-09-23T07:20:07.000Z,Room 2.12,3
2025-09-23T07:40:08.000Z,Room 2.12,12
2025-09-23T08:00:07.000Z,Room 2.12,40
2025-09-23T08:20:07.000Z,Room 2.12,86
2025-09-23T08:40:07.000Z,Room 2.12,104
2025-09-23T09:00:07.000Z,Room 2.12,102
2025-09-23T09:20:07.000Z,Room 2.12,105
2025-09-23T09:40:08.000Z,Room 2.12,103
2025-09-23T10:00:07.000Z,Room 2.12,116
2025-09-23T10:20:08.000Z,Room 2.12,102
2025-09-23T11:00:07.000Z,Room 2.12,30
2025-09-23T11:20:08.000Z,Room 2.12,32
2025-09-23T11:40:07.000Z,Room 2.12,34
2025-09-23T12:00:07.000Z,Room 2.12,56
2025-09-23T12:20:07.000Z,Room 2.12,109
2025-09-23T12:40:07.000Z,Room 2.12,110
2025-09-23T13:00:07.000Z,Room 2.12,109
2025-09-23T13:20:08.000Z,Room 2.12,103
2025-09-23T13:40:07.000Z,Room 2.12,112
2025-09-23T14:00:07.000Z,Room 2.12,26
2025-09-23T14:20:07.000Z,Room 2.12,3
2025-09-23T14:40:08.000Z,Room 2.12,0
2025-09-23T15:00:07.000Z,Room 2.12,0
2025-09-23T15:20:07.000Z,Room 2.12,1
2025-09-23T15:40:07.000Z,Room 2.12,0
2025-09-23T16:00:08.000Z,Room 2.12,0
2025-09-23T16:20:07.000Z,Room 2.12,0
2025-09-23T16:40:07.000Z,Room 2.12,0
2025-09-23T17:00:07.000Z,Room 2.12,0
2025-09-23T17:20:08.000Z,Room 2.12,0
2025-09-23T17:40:07.000Z,Room 2.12,0
2025-09-24T07:00:07.000Z,Room 2.12,0
2025-09-24T07:20:07.000Z,Room 2.12,1
2025-09-24T07:40:07.000Z,Room 2.12,4
2025-09-24T08:00:07.000Z,Room 2.12,56
2025-09-24T08:40:07.000Z,Room 2.12,112
2025-09-24T09:00:07.000Z,Room 2.12,124
2025-09-24T09:20:07.000Z,Room 2.12,135
2025-09-24T09:40:07.000Z,Room 2.12,127
2025-09-24T10:00:07.000Z,Room 2.12,123
2025-09-24T10:20:07.000Z,Room 2.12,128
2025-09-24T10:40:07.000Z,Room 2.12,133
2025-09-24T11:00:07.000Z,Room 2.12,30
2025-09-24T11:20:07.000Z,Room 2.12,50
2025-09-24T11:40:05.000Z,Room 2.12,0
2025-09-24T12:20:11.000Z,Room 2.12,86
2025-09-24T12:40:07.000Z,Room 2.12,93
2025-09-24T13:00:07.000Z,Room 2.12,78
2025-09-24T13:20:07.000Z,Room 2.12,111
2025-09-24T13:40:07.000Z,Room 2.12,96
2025-09-24T14:00:07.000Z,Room 2.12,100
2025-09-24T14:20:07.000Z,Room 2.12,96
2025-09-24T14:40:07.000Z,Room 2.12,107
2025-09-24T15:00:07.000Z,Room 2.12,105
2025-09-24T15:20:07.000Z,Room 2.12,105
2025-09-24T15:40:08.000Z,Room 2.12,85
2025-09-24T16:00:07.000Z,Room 2.12,0
2025-09-24T16:20:07.000Z,Room 2.12,0
2025-09-24T16:40:07.000Z,Room 2.12,0
2025-09-24T17:00:07.000Z,Room 2.12,1
2025-09-24T17:20:07.000Z,Room 2.12,0
2025-09-24T17:40:07.000Z,Room 2.12,0
2025-09-25T07:00:07.000Z,Room 2.12,0
2025-09-25T07:20:08.000Z,Room 2.12,2
2025-09-25T07:40:07.000Z,Room 2.12,19
2025-09-25T08:00:07.000Z,Room 2.12,67
2025-09-25T08:20:07.000Z,Room 2.12,123
2025-09-25T08:40:07.000Z,Room 2.12,131
2025-09-25T09:00:07.000Z,Room 2.12,125
2025-09-25T09:20:07.000Z,Room 2.12,45
2025-09-25T09:40:08.000Z,Room 2.12,138
2025-09-25T10:00:07.000Z,Room 2.12,143
2025-09-25T10:20:07.000Z,Room 2.12,133
2025-09-25T10:40:07.000Z,Room 2.12,138
2025-09-25T11:00:07.000Z,Room 2.12,125
2025-09-25T11:20:07.000Z,Room 2.12,48
2025-09-25T11:40:07.000Z,Room 2.12,44
2025-09-25T12:00:08.000Z,Room 2.12,66
2025-09-25T12:20:08.000Z,Room 2.12,131
2025-09-25T12:40:08.000Z,Room 2.12,127
2025-09-25T13:00:07.000Z,Room 2.12,128
2025-09-25T13:20:07.000Z,Room 2.12,105
2025-09-25T13:40:07.000Z,Room 2.12,114
2025-09-25T14:00:07.000Z,Room 2.12,55
2025-09-25T14:20:07.000Z,Room 2.12,90
2025-09-25T14:40:07.000Z,Room 2.12,80
2025-09-25T15:00:07.000Z,Room 2.12,0
2025-09-25T15:20:07.000Z,Room 2.12,0
2025-09-25T15:40:07.000Z,Room 2.12,0
2025-09-25T16:00:08.000Z,Room 2.12,0
2025-09-25T16:20:07.000Z,Room 2.12,0
2025-09-25T16:40:07.000Z,Room 2.12,0
2025-09-25T17:00:04.000Z,Room 2.12,0
2025-09-25T17:40:10.000Z,Room 2.12,0
2025-09-26T07:00:07.000Z,Room 2.12,0
2025-09-26T07:20:07.000Z,Room 2.12,2
2025-09-26T07:40:07.000Z,Room 2.12,17
2025-09-26T08:00:07.000Z,Room 2.12,61
2025-09-26T08:20:08.000Z,Room 2.12,128
2025-09-26T08:40:09.000Z,Room 2.12,138
2025-09-26T09:00:08.000Z,Room 2.12,128
2025-09-26T09:20:07.000Z,Room 2.12,149
2025-09-26T09:40:07.000Z,Room 2.12,135
2025-09-26T10:00:08.000Z,Room 2.12,128
2025-09-26T10:20:08.000Z,Room 2.12,66
2025-09-26T10:40:07.000Z,Room 2.12,129
2025-09-26T11:00:08.000Z,Room 2.12,65
2025-09-26T11:20:08.000Z,Room 2.12,51
2025-09-26T11:40:08.000Z,Room 2.12,48
2025-09-26T12:00:07.000Z,Room 2.12,58
2025-09-26T12:20:07.000Z,Room 2.12,125
2025-09-26T12:40:08.000Z,Room 2.12,117
2025-09-26T13:00:07.000Z,Room 2.12,115
2025-09-26T13:20:07.000Z,Room 2.12,49
2025-09-26T13:40:07.000Z,Room 2.12,114
2025-09-26T14:00:07.000Z,Room 2.12,102
2025-09-26T14:20:07.000Z,Room 2.12,51
2025-09-26T14:40:07.000Z,Room 2.12,97
2025-09-26T15:00:07.000Z,Room 2.12,13
2025-09-26T15:20:07.000Z,Room 2.12,5
2025-09-26T15:40:07.000Z,Room 2.12,5
2025-09-26T16:00:07.000Z,Room 2.12,1
2025-09-26T16:20:07.000Z,Room 2.12,1
2025-09-26T16:40:08.000Z,Room 2.12,0
2025-09-26T17:00:07.000Z,Room 2.12,0
2025-09-26T17:20:08.000Z,Room 2.12,0
