timestamp,respondentId,room,comfortValue,comfortLabel,temperatureValue,temperatureLabel,humidityValue,humidityLabel,airQualityValue,airQualityLabel,noiseValue,noiseLabel,degreesValue,degreesLabel,between,and
2025-09-30T12:22:37.000Z,51,Room 2.12,3,Acceptable,0,Optimal,0,Optimal,1,Acceptable,1,Slightly noisy,5,23≥t≥25°C,23,25
2025-09-30T12:22:42.000Z,39,Room 2.12,3,Acceptable,-1,Cool,1,Slightly humid,1,Acceptable,0,Optimal,4,20≥t≥22°C,20,22
2025-09-30T12:23:33.000Z,99,Room 2.12,3,Acceptable,0,Optimal,0,Optimal,1,Acceptable,0,Optimal,4,20≥t≥22°C,20,22
2025-09-30T12:24:13.000Z,137,Room 2.12,3,Acceptable,1,Warm,1,Slightly humid,1,Acceptable,0,Optimal,4,20≥t≥22°C,20,22
2025-09-30T12:32:43.000Z,134,Room 2.12,3,Acceptable,1,Warm,1,Slightly humid,1,Acceptable,0,Optimal,6,26≥t≥28°C,26,28
2025-09-30T12:38:18.000Z,177,Room 2.12,4,Good,1,Warm,0,Optimal,1,Acceptable,0,Optimal,5,23≥t≥25°C,23,25
2025-09-30T13:02:54.000Z,23,Room 2.12,4,Good,-1,Cool,0,Optimal,0,Optimal,0,Optimal,2,14≥t≥16°C,14,16
2025-09-30T13:03:31.000Z,153,Room 2.12,5,Excellent,0,Optimal,0,Optimal,0,Optimal,0,Optimal,4,20≥t≥22°C,20,22
2025-09-30T13:05:42.000Z,49,Room 2.12,5,Excellent,1,Warm,0,Optimal,1,Acceptable,2,Loud,5,23≥t≥25°C,23,25
2025-09-30T13:09:09.000Z,148,Room 2.12,4,Good,1,Warm,0,Optimal,1,Acceptable,0,Optimal,5,23≥t≥25°C,23,25
2025-09-30T13:09:41.000Z,117,Room 2.12,3,Acceptable,0,Optimal,1,Slightly humid,1,Acceptable,1,Slightly noisy,5,23≥t≥25°C,23,25
2025-09-30T13:09:54.000Z,6,Room 2.12,4,Good,0,Optimal,1,Slightly humid,1,Acceptable,0,Optimal,5,23≥t≥25°C,23,25
2025-09-30T13:16:45.000Z,172,Room 2.12,5,Excellent,0,Optimal,0,Optimal,1,Acceptable,0,Optimal,4,20≥t≥22°C,20,22
2025-09-30T13:19:30.000Z,101,Room 2.12,3,Acceptable,0,Optimal,0,Optimal,0,Optimal,0,Optimal,5,23≥t≥25°C,23,25
2025-09-30T13:19:30.000Z,135,Room 2.12,3,Acceptable,1,Warm,-1,Slightly arid,2,Poor,1,Slightly noisy,6,26≥t≥28°C,26,28
2025-09-30T13:19:45.000Z,31,Room 2.12,3,Acceptable,0,Optimal,0,Optimal,1,Acceptable,1,Slightly noisy,4,20≥t≥22°C,20,22
2025-09-30T13:20:00.000Z,129,Room 2.12,3,Acceptable,0,Optimal,0,Optimal,1,Acceptable,0,Optimal,4,20≥t≥22°C,20,22
2025-09-30T13:20:03.000Z,162,Room 2.12,3,Acceptable,0,Optimal,1,Slightly humid,1,Acceptable,1,Slightly noisy,4,20≥t≥22°C,20,22
2025-09-30T13:20:11.000Z,166,Room 2.12,3,Acceptable,1,Warm,-1,Slightly arid,0,Optimal,1,Slightly noisy,4,20≥t≥22°C,20,22
2025-09-30T13:20:17.000Z,96,Room 2.12,3,Acceptable,0,Optimal,0,Optimal,0,Optimal,1,Slightly noisy,5,23≥t≥25°C,23,25
2025-09-30T13:20:33.000Z,76,Room 2.12,2,Poor,1,Warm,1,Slightly humid,1,Acceptable,2,Loud,5,23≥t≥25°C,23,25
2025-09-30T13:20:41.000Z,36,Room 2.12,3,Acceptable,0,Optimal,0,Optimal,0,Optimal,0,Optimal,4,20≥t≥22°C,20,22
2025-09-30T13:20:55.000Z,42,Room 2.12,3,Acceptable,1,Warm,1,Slightly humid,2,Poor,1,Slightly noisy,4,20≥t≥22°C,20,22
2025-09-30T13:20:59.000Z,119,Room 2.12,1,Extremely Poor,2,Hot,-2,Arid,2,Poor,2,Loud,6,26≥t≥28°C,26,28
2025-09-30T13:21:03.000Z,50,Room 2.12,4,Good,0,Optimal,0,Optimal,0,Optimal,1,Slightly noisy,4,20≥t≥22°C,20,22
2025-09-30T13:21:21.000Z,161,Room 2.12,5,Excellent,0,Optimal,0,Optimal,0,Optimal,2,Loud,4,20≥t≥22°C,20,22
2025-09-30T13:21:21.000Z,66,Room 2.12,3,Acceptable,0,Optimal,0,Optimal,1,Acceptable,1,Slightly noisy,4,20≥t≥22°C,20,22
2025-09-30T13:21:22.000Z,109,Room 2.12,2,Poor,1,Warm,-1,Slightly arid,2,Poor,1,Slightly noisy,5,23≥t≥25°C,23,25
2025-09-30T13:21:47.000Z,8,Room 2.12,4,Good,0,Optimal,0,Optimal,1,Acceptable,0,Optimal,4,20≥t≥22°C,20,22
2025-09-30T13:22:02.000Z,30,Room 2.12,3,Acceptable,0,Optimal,0,Optimal,1,Acceptable,1,Slightly noisy,5,23≥t≥25°C,23,25
